asset_id	kind	case_id	product	source	schema_version	derivation	redaction_review	sha256	owner	status	expected_result
screen/active-turn	ascii-screen	active-turn	generic	evals#57	diagnostic-ascii-v1	synthetic	not-required-synthetic	d26061bbe4e95439923f2c8f9dd51a18b3f6fe0197efe7506187648f2a28649d	evals	ready	active
screen/idle-prompt	ascii-screen	idle-prompt	generic	evals#57	diagnostic-ascii-v1	synthetic	not-required-synthetic	6c177fb679d7aa84ecb0df76ec4fb084265a900bf8591a8227a9cd8040b60590	evals	ready	idle
screen/long-child	ascii-screen	long-child	generic	evals#57	diagnostic-ascii-v1	synthetic	not-required-synthetic	afdaa19fc18fadf821b752ed9d906b0f7d9a96fb69697f702070d68a4a2cad2f	evals	ready	child_command
screen/alternate-screen	ascii-screen	alternate-screen	generic	evals#57	diagnostic-ascii-v1	synthetic	not-required-synthetic	d3a12cb62d70f5bf54e1bde9ad857c195e1b570a31dc7dc66414c65ad567b7a1	evals	ready	unknown
screen/raw-mode	ascii-screen	raw-mode	generic	evals#57	diagnostic-ascii-v1	synthetic	not-required-synthetic	502f627f6c6cc8f2287f4d6e51ce0e60f257da398a4ac5b22440e40e7c43b75a	evals	ready	unknown
screen/restore	ascii-screen	restore	generic	evals#57	diagnostic-ascii-v1	synthetic	not-required-synthetic	e520b13e37f5a3b03b5995a36d49e03ee9e52318f9b8df7d6dc803f0692f447a	evals	ready	idle
screen/compaction	ascii-screen	compaction	generic	evals#57	diagnostic-ascii-v1	synthetic	not-required-synthetic	f4bf99a5e7d32e53b42d9a13cf785a3cd2c6399055fa1cb836d2d45101c01a91	evals	ready	unknown
screen/clear	ascii-screen	clear	generic	evals#57	diagnostic-ascii-v1	synthetic	not-required-synthetic	caf48276ce1523bd8b9fba2c5446d9eebec1ef2aadbfc50ec4b252209eb9f5d6	evals	ready	unknown
screen/crash	ascii-screen	crash	generic	evals#57	diagnostic-ascii-v1	synthetic	not-required-synthetic	983ee3465b93323279717a6c2419f16582a2369b556b18eef9d2c66a323060f8	evals	ready	unknown
codex/active-turn	adapter-event	active-turn	codex	pending-owner-artifact	pending	none	pending	-	pending	blocked	active
codex/idle-prompt	adapter-event	idle-prompt	codex	pending-owner-artifact	pending	none	pending	-	pending	blocked	idle
codex/long-child	adapter-event	long-child	codex	pending-owner-artifact	pending	none	pending	-	pending	blocked	child_command
codex/alternate-screen	adapter-event	alternate-screen	codex	pending-owner-artifact	pending	none	pending	-	pending	blocked	unknown
codex/raw-mode	adapter-event	raw-mode	codex	pending-owner-artifact	pending	none	pending	-	pending	blocked	unknown
codex/restore	adapter-event	restore	codex	pending-owner-artifact	pending	none	pending	-	pending	blocked	idle
codex/compaction	adapter-event	compaction	codex	pending-owner-artifact	pending	none	pending	-	pending	blocked	unknown
codex/clear	adapter-event	clear	codex	pending-owner-artifact	pending	none	pending	-	pending	blocked	unknown
codex/crash	adapter-event	crash	codex	pending-owner-artifact	pending	none	pending	-	pending	blocked	unknown
claude/active-turn	adapter-event	active-turn	claude	pending-owner-artifact	pending	none	pending	-	pending	blocked	active
claude/idle-prompt	adapter-event	idle-prompt	claude	pending-owner-artifact	pending	none	pending	-	pending	blocked	idle
claude/long-child	adapter-event	long-child	claude	pending-owner-artifact	pending	none	pending	-	pending	blocked	child_command
claude/alternate-screen	adapter-event	alternate-screen	claude	pending-owner-artifact	pending	none	pending	-	pending	blocked	unknown
claude/raw-mode	adapter-event	raw-mode	claude	pending-owner-artifact	pending	none	pending	-	pending	blocked	unknown
claude/restore	adapter-event	restore	claude	pending-owner-artifact	pending	none	pending	-	pending	blocked	idle
claude/compaction	adapter-event	compaction	claude	pending-owner-artifact	pending	none	pending	-	pending	blocked	unknown
claude/clear	adapter-event	clear	claude	pending-owner-artifact	pending	none	pending	-	pending	blocked	unknown
claude/crash	adapter-event	crash	claude	pending-owner-artifact	pending	none	pending	-	pending	blocked	unknown
codex/hook/post-turn-unread	post-turn-hook	post-turn-unread	codex	pending-owner-artifact	pending	none	pending	-	pending	blocked	next-context-injection
codex/hook/post-turn-multiple	post-turn-hook	post-turn-multiple	codex	pending-owner-artifact	pending	none	pending	-	pending	blocked	next-context-fifo
codex/hook/post-turn-empty	post-turn-hook	post-turn-empty	codex	pending-owner-artifact	pending	none	pending	-	pending	blocked	no-injection
codex/hook/hook-failure	post-turn-hook	hook-failure	codex	pending-owner-artifact	pending	none	pending	-	pending	blocked	hold-unread
claude/hook/post-turn-unread	post-turn-hook	post-turn-unread	claude	pending-owner-artifact	pending	none	pending	-	pending	blocked	next-context-injection
claude/hook/post-turn-multiple	post-turn-hook	post-turn-multiple	claude	pending-owner-artifact	pending	none	pending	-	pending	blocked	next-context-fifo
claude/hook/post-turn-empty	post-turn-hook	post-turn-empty	claude	pending-owner-artifact	pending	none	pending	-	pending	blocked	no-injection
claude/hook/hook-failure	post-turn-hook	hook-failure	claude	pending-owner-artifact	pending	none	pending	-	pending	blocked	hold-unread
