cell	surface	reason
context-resource-continuity	cell	deterministic native context/resource restart probe; no harness seat
ding-adapter-fixture-contract	cell	deterministic fixture provenance and blocker contract; no bus-connected agent
ding-delivery-a-aggressive-control	cell	deterministic unconfigured DING ordinary-input control; no harness or model agent
ding-delivery-st2-rich-ab	cell	deterministic exact-source configured generic-adapter versus aggressive DING A/B; no harness or model agent
ding-delivery-pty-ab	cell	deterministic PTY-boundary aggressive-versus-guarded delivery A/B; no harness or model agent
ding-pty-activity-lease	cell	deterministic exact-source PTY activity-lease probe; no harness or model agent
ding-pty-guarded-send	cell	deterministic exact-source PTY compare-and-send race probe; no harness or model agent
docs	judge:cold-reader	one-shot offline Claude print grader; no bus identity, DING, or hook surface
exec-lifecycle-logging	cell	deterministic native exec lifecycle probe; no harness seat
hook-integrity	cell	deterministic native hook-installation probe; no live harness seat
host-lock-health-negatives	cell	deterministic native doctor negative probe; no harness seat
pty-attach-only	cell	deterministic PTY dead-attach policy probe; no harness seat
pty-send-peek	cell	deterministic PTY transport probe; no harness seat
presence-ding-matrix	cell	deterministic native presence and DING probe; no harness seat
reconcile-retire-keep	cell	deterministic native reconcile lifecycle probe; no harness seat
render-target-safety	cell	deterministic native render-policy probe; no harness seat
strict-validation-json	cell	deterministic native validation-diagnostics probe; no harness seat
st2-doctor-structure	cell	deterministic catalog-health probe; no harness seat
st2-network	cell	deterministic catalog/message round-trip probe; no harness seat
targeted-reconcile-isolation	cell	deterministic selected reconcile isolation probe; no bus-connected agent
two-networks-coexist	cell	deterministic catalog-isolation probe; no harness seat
