artifact	sha256
command-task	3504973ce8a2186f8fc5dce6e4baf5b1bcd49430129a7fd49fd7aae3e0ad80a9
command-kdl	4bc6c79a032be58cceefa64de4bb9bae7ccc885aa85e4450c61d3903ed3c9993
command-judges	92e3d23bef8b725c0574b4fb4a8ef1537e46b30955aaec134f01926519f99b07
command-fixture	bd6aea69661f803d0abd37e4c9f1cf99a21b410c3196d8c07eece208253a2d34
catalog-task	15232c2466bdcae2dda45c09905b65099b00637132501690d6d094c1d34d14fa
catalog-kdl	d36daa057e9f4534dec355abc1facc4bf7dc17b3591aeacc1f3c00401cb8bd86
catalog-judges	9f41f01fb73e59135077ab1adfe3f97bbe20d292742905e88cf30a499d36d37e
catalog-mutations	63c70a16b7b774161be0a6df9cb36da632f493bbfd62b050155c258bb984c1ba
catalog-ordinary-fixture	b451b556c77f3787090cd2d201c5f6406ee090d51446853fc93218ee40986e8d
catalog-treatment-requirements	bada3932a6158be993bb105a11390a5ad61f6569c5f8b24a226d8b7b61e0dfa2
catalog-treatment-spec	686016fd0308e832cfa2bb2dfabc6e0ae0e5c2f35750a2449a72b44bceaa0f1d
